store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,5/5(⽉),-74,5359,-38572,"5/4(⽇) -36 4,754 -19,175 ジャグラーガールズSS"
エスパス秋葉原駅前店 ,5/3(⼟),89,4950,46669,Sister Quest
エスパス秋葉原駅前店 ,5/2(⾦),71,4532,36996,スマスロ痛いのは嫌なので防御⼒に極振りしたいと思います。
エスパス秋葉原駅前店 ,5/1(⽊),262,4853,136104,L戦国⼄⼥４ 戦乱に閃く炯眼の軍師
エスパス秋葉原駅前店 ,4/30(⽔),-78,5432,-40828,L⿇雀物語
エスパス秋葉原駅前店 ,4/29(⽕),478,5552,248362,パチスロ 甲鉄城のカバネリ
エスパス秋葉原駅前店 ,4/28(⽉),175,4774,90848,吉宗
エスパス秋葉原駅前店 ,4/27(⽇),159,5421,82924,"4/26(⼟) +72 5,730 +37,455 Lパチスロガールズ＆パンツァー 最終章"
エスパス秋葉原駅前店 ,4/25(⾦),269,4029,139781,Lパチスロ ありふれた職業で世界最強
エスパス秋葉原駅前店 ,4/24(⽊),6,3391,3345,"4/23(⽔) +110 3,723 +57,224"
エスパス秋葉原駅前店 ,4/22(⽕),103,3511,53645,ゴジラ
エスパス秋葉原駅前店 ,4/21(⽉),78,3667,40604,ゴジラ
エスパス秋葉原駅前店 ,4/20(⽇),-368,5039,-187064,Lパチスロ戦姫絶唱シンフォギア 正義の歌
エスパス秋葉原駅前店 ,4/19(⼟),333,5304,169368,L 真・⼀騎当千
エスパス秋葉原駅前店 ,4/18(⾦),95,2811,48509,Lパチスロ ありふれた職業で世界最強
エスパス秋葉原駅前店 ,4/17(⽊),-50,3373,-25737,L東京喰種
エスパス秋葉原駅前店 ,4/16(⽔),136,4012,69525,Lバンドリ！
エスパス秋葉原駅前店 ,4/15(⽕),18,2703,9244,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,4/14(⽉),320,4600,162643,ゴーゴージャグラー３
エスパス秋葉原駅前店 ,4/13(⽇),-31,4717,-16184,"4/12(⼟) -314 5,140 -159,671 スマスロ 七つの魔剣が⽀配する"
エスパス秋葉原駅前店 ,4/11(⾦),328,3804,167102,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,4/10(⽊),356,3901,181126,Lバンドリ！
エスパス秋葉原駅前店 ,4/9(⽔),124,3232,63157,少⼥☆歌劇 レヴュースタァライト -The SLOT-
エスパス秋葉原駅前店 ,4/8(⽕),-145,3000,-73908,Sister Quest
エスパス秋葉原駅前店 ,4/7(⽉),-127,4003,-64769,ゴジラ
エスパス秋葉原駅前店 ,4/6(⽇),22,5445,11489,この素晴らしい世界に祝福を！
エスパス秋葉原駅前店 ,4/5(⼟),300,5430,152660,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,4/4(⾦),132,4295,67472,スマスロ スーパーブラックジャック
エスパス秋葉原駅前店 ,4/3(⽊),31,2737,16254,A-SLOT+ ディスクアップ ULTRAREMIX
エスパス秋葉原駅前店 ,4/2(⽔),131,4205,66644,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,4/1(⽕),12,2780,6239,Lバンドリ！
エスパス秋葉原駅前店 ,3/31(⽉),719,5503,365744,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,3/30(⽇),-281,4943,-143061,L 真・⼀騎当千
エスパス秋葉原駅前店 ,3/29(⼟),85,5281,43395,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,3/28(⾦),155,3208,78818,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,3/27(⽊),-12,3897,-6169,スロット ゾンビランドサガ
エスパス秋葉原駅前店 ,3/26(⽔),223,3874,113435,Lパチスロガールズ＆パンツァー 最終章
エスパス秋葉原駅前店 ,3/25(⽕),-216,3585,-109985,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,3/24(⽉),320,4641,162851,スマスロ モンスターハンターライズ
エスパス秋葉原駅前店 ,3/23(⽇),139,5300,70884,スマスロ シャーマンキング
エスパス秋葉原駅前店 ,3/22(⼟),108,5192,55240,マクロスデルタ
エスパス秋葉原駅前店 ,3/21(⾦),51,3884,26388,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,3/20(⽊),-66,5238,-33860,L東京喰種
エスパス秋葉原駅前店 ,3/19(⽔),409,4215,207868,L ToLOVEるダークネス
エスパス秋葉原駅前店 ,3/18(⽕),-19,2724,-9887,"3/17(⽉) -50 2,843 -25,768 Sister Quest"
エスパス秋葉原駅前店 ,3/16(⽇),-110,4784,-55964,L東京喰種
エスパス秋葉原駅前店 ,3/15(⼟),441,5283,224460,Lルパン三世 ⼤航海者の秘宝
エスパス秋葉原駅前店 ,3/14(⾦),204,4407,103672,スマスロ 七つの魔剣が⽀配する
エスパス秋葉原駅前店 ,3/13(⽊),-17,2741,-8698,"3/12(⽔) -94 3,466 -47,912"
エスパス秋葉原駅前店 ,3/11(⽕),54,3007,27815,末尾6
エスパス秋葉原駅前店 ,3/10(⽉),-9,2977,-4574,スマスロ スーパーブラックジャック
エスパス秋葉原駅前店 ,3/9(⽇),-226,4527,-115205,Sister Quest
